"pais","CODIGO_PAIS","REGIAO","nivel_educacional","anos_programando","cargo_atual","anos_usando_ml","SALARIO_ANUAL_USD","linguagens_usadas","bancos_de_dados_usados","ferramentas_bi_usadas"
United Arab Emirates,ARE,Asia,Master’s degree,< 1 years,Data Scientist,Manufacturing/Fabrication,3000.0,Python,,
United States of America,,,Bachelor’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,25000.0,Python;R;SQL;Javascript;Bash,,
Other,,,Doctoral degree,"10-20 years",Data Scientist,Medical/Pharmaceutical,,Python;C;C++,,
India,IND,Asia,Master’s degree,"3-5 years",Data Scientist,Shipping/Transportation,15000.0,Python;SQL,,Looker
India,IND,Asia,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,,,
Colombia,COL,Americas,Doctoral degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,15000.0,Python;SQL;Javascript,,
Argentina,ARG,Americas,Master’s degree,"10-20 years",Data Scientist,Accounting/Finance,30000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,10000.0,Python;SQL;C++;Java;Javascript,MongoDB,
India,IND,Asia,I prefer not to answer,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,SQL;C#,,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Energy/Mining,10000.0,Python;SQL;C#,,
Poland,POL,Europe,I prefer not to answer,"3-5 years",Data Scientist,Insurance/Risk Assessment,1000.0,R;SQL,MySQL;PostgreSQL,Qlik Sense
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Engineer,,,Python;Java;Javascript,,
United States of America,,,Some college/university study without earning a bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python,,
United States of America,,,Master’s degree,"20+ years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,125000.0,SQL,,
Other,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,20000.0,,,
United States of America,,,Bachelor’s degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,90000.0,Python;SQL;Bash,SQLite,
China,CHN,Asia,I prefer not to answer,< 1 years,Data Scientist,Insurance/Risk Assessment,1000.0,Python;SQL;C++;MATLAB,PostgreSQL;SQLite,Google Data Studio;Tableau
Other,,,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,70000.0,R;SQL,,
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,80000.0,R;SQL,,
Netherlands,NLD,Europe,Professional doctorate,"5-10 years",Data Scientist,Non-profit/Service,40000.0,R,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,10000.0,Python;SQL;C;MATLAB,,
Turkey,TUR,Asia,Master’s degree,"3-5 years",Data Scientist,Other,40000.0,Python;R;SQL,,Qlik Sense
Mexico,MEX,Americas,Bachelor’s degree,"10-20 years",Data Engineer,Computers/Technology,25000.0,Python;SQL,MySQL;SQLite,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,Python;R;SQL,,
United States of America,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,7500.0,,,
United States of America,,,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C;Java,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,1000.0,Python;R;SQL;MATLAB,,
"Iran, Islamic Republic of...",,,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,0.0,Python;R;SQL,,
India,IND,Asia,Doctoral degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,1000.0,Python,Snowflake,
Egypt,EGY,Africa,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,Python;SQL,,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,R;SQL,,
India,IND,Asia,Master’s degree,"10-20 years",Data Scientist,Shipping/Transportation,100000.0,Python;R,MySQL;PostgreSQL,
Other,,,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,70000.0,Python;SQL;Bash,,
United States of America,,,Master’s degree,"3-5 years",Data Engineer,Retail/Sales,125000.0,Python;SQL;C;C#;Java,MySQL;SQLite,
France,FRA,Europe,Master’s degree,"1-3 years",Data Scientist,Retail/Sales,50000.0,Python,,
United States of America,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,30000.0,Python;R;SQL,SQLite;Oracle Database;MongoDB;Snowflake,
Israel,ISR,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,70000.0,Python,,
Malaysia,MYS,Asia,Bachelor’s degree,< 1 years,Data Scientist,Non-profit/Service,0.0,,,
Netherlands,NLD,Europe,Doctoral degree,"5-10 years",Data Scientist,Accounting/Finance,50000.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Retail/Sales,125000.0,Python,,
United Kingdom of Great Britain and Northern Ireland,,,Professional doctorate,"5-10 years",Data Scientist,Insurance/Risk Assessment,50000.0,R;SQL;MATLAB;Julia,MySQL,
India,IND,Asia,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,10000.0,Python;SQL;C++,,
United States of America,,,Doctoral degree,"1-3 years",Data Scientist,Medical/Pharmaceutical,50000.0,Python,,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Scientist,Other,0.0,Python;Java;MATLAB,,
Romania,ROU,Europe,Doctoral degree,"3-5 years",Data Scientist,Manufacturing/Fabrication,50000.0,Python;SQL,SQLite,Tableau
Poland,POL,Europe,Master’s degree,"3-5 years",Data Scientist,Medical/Pharmaceutical,,Python,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,70000.0,SQL,MongoDB,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"3-5 years",Data Scientist,Online Service/Internet-based Services,90000.0,Python;SQL,MongoDB,
Taiwan,TWN,Asia,I prefer not to answer,"3-5 years",Data Engineer,Computers/Technology,2000.0,Python,,
Italy,ITA,Europe,Doctoral degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,30000.0,Python,,
Russia,RUS,Europe,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,,,
United States of America,,,Master’s degree,< 1 years,Data Engineer,Computers/Technology,80000.0,Python;R;SQL,MySQL;PostgreSQL,Google Data Studio;Qlik Sense
"Iran, Islamic Republic of...",,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,2000.0,SQL;C;C++,,
India,IND,Asia,Bachelor’s degree,"5-10 years",Data Scientist,Accounting/Finance,10000.0,C#,,
Argentina,ARG,Americas,I prefer not to answer,"10-20 years",Data Scientist,Government/Public Service,0.0,Python;SQL;C#,,
India,IND,Asia,Doctoral degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0.0,Python;R;SQL;C;Java,,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Computers/Technology,,Python,,
India,IND,Asia,I prefer not to answer,< 1 years,Data Scientist,Computers/Technology,1000.0,Python;SQL;MATLAB,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,1000.0,Python;SQL,,
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,Python;SQL,,
Russia,RUS,Europe,I prefer not to answer,"1-3 years",Data Scientist,Marketing/CRM,0.0,Python;R;SQL,,
Singapore,SGP,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,70000.0,Python,,
Indonesia,IDN,Asia,Bachelor’s degree,< 1 years,Data Administrator,Manufacturing/Fabrication,0.0,Python;SQL;Bash;MATLAB,,
Netherlands,NLD,Europe,Master’s degree,< 1 years,Data Engineer,Computers/Technology,,Python;SQL,,
China,CHN,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,,,
France,FRA,Europe,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,50000.0,Python;SQL;Bash,,
India,IND,Asia,I prefer not to answer,< 1 years,Data Scientist,Computers/Technology,0.0,Python,,
Canada,CAN,Americas,Doctoral degree,"3-5 years",Data Scientist,Computers/Technology,90000.0,Python;SQL,,
India,IND,Asia,Doctoral degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python;R;SQL;C;Java;PHP,MySQL;PostgreSQL,
South Africa,ZAF,Africa,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,20000.0,Python;R;SQL,,
Spain,ESP,Europe,Doctoral degree,"10-20 years",Data Scientist,Computers/Technology,30000.0,Python;Bash,SQLite,
United States of America,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,4000.0,SQL,,
Indonesia,IDN,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,7500.0,Python;R,MongoDB,
Argentina,ARG,Americas,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,10000.0,Python;SQL;MATLAB,,
South Korea,KOR,Asia,Some college/university study without earning a bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,30000.0,Python;R;SQL,Microsoft SQL Server,
Morocco,MAR,Africa,Professional doctorate,"5-10 years",Data Scientist,Computers/Technology,0.0,Python;SQL;C;Java;PHP,,
Argentina,ARG,Americas,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,10000.0,R,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,125000.0,Python,SQLite,
Hong Kong (S.A.R.),,,Master’s degree,"10-20 years",Data Scientist,Accounting/Finance,7500.0,Python;SQL,MongoDB;Snowflake,
India,IND,Asia,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,,Python;SQL,,
Other,,,Doctoral degree,"5-10 years",Data Scientist,Broadcasting/Communications,40000.0,Python,,
Poland,POL,Europe,Master’s degree,I have never written code,Data Administrator,Academics/Education,0.0,,,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Scientist,Medical/Pharmaceutical,30000.0,Python,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,300000.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Scientist,Accounting/Finance,20000.0,Python;SQL,,
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,70000.0,Python;R,,
Zimbabwe,ZWE,Africa,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,5000.0,Python;C;Bash,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,150000.0,Python;SQL,MongoDB,
Other,,,Professional doctorate,"1-3 years",Data Scientist,Computers/Technology,1000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Academics/Education,10000.0,Python;R;SQL,MongoDB,
Indonesia,IDN,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,2000.0,Python;SQL,MongoDB,
Nigeria,NGA,Africa,Doctoral degree,"1-3 years",Data Scientist,Government/Public Service,5000.0,Python,,
India,IND,Asia,Some college/university study without earning a bachelor’s degree,"1-3 years",Data Scientist,Computers/Technology,4000.0,Python,PostgreSQL;SQLite;Oracle Database;Snowflake,Looker
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Insurance/Risk Assessment,,Python,SQLite,
Other,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,Python,,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Scientist,Broadcasting/Communications,,Python;R;SQL,,
India,IND,Asia,Professional doctorate,"10-20 years",Data Scientist,Computers/Technology,15000.0,Python;Bash,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,100000.0,Python,SQLite;MongoDB,
United States of America,,,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,60000.0,Python;R;SQL;Javascript;PHP,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,100000.0,Python;C#,,
Nigeria,NGA,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,,,
Pakistan,PAK,Asia,Master’s degree,"1-3 years",Data Scientist,Other,,Python;SQL;C;Java;Javascript;PHP,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL;Javascript,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,15000.0,Python,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,60000.0,Python,,
United States of America,,,Master’s degree,< 1 years,Data Administrator,Non-profit/Service,50000.0,,,
China,CHN,Asia,Doctoral degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,1000.0,Python;SQL,PostgreSQL,
India,IND,Asia,I prefer not to answer,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,SQL,,
Brazil,BRA,Americas,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,1000.0,Python;SQL,,
Other,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,70000.0,Python;R;SQL,,
India,IND,Asia,No formal education past high school,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,0.0,SQL,,
Japan,JPN,Asia,Bachelor’s degree,"1-3 years",Data Engineer,Marketing/CRM,3000.0,Python,Snowflake,
India,IND,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,3000.0,,,
United States of America,,,Bachelor’s degree,"10-20 years",Data Scientist,Manufacturing/Fabrication,150000.0,R;SQL;Java,PostgreSQL,
Russia,RUS,Europe,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,10000.0,Python,,
Mexico,MEX,Americas,Bachelor’s degree,< 1 years,Data Scientist,Shipping/Transportation,7500.0,Python;R,,
United States of America,,,Master’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C;C++;Java,,
Japan,JPN,Asia,Bachelor’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;SQL,,
United States of America,,,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,,Python;SQL,,
Japan,JPN,Asia,I prefer not to answer,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;SQL;Javascript,,
Poland,POL,Europe,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,40000.0,SQL,,
Canada,CAN,Americas,Bachelor’s degree,"10-20 years",Data Scientist,Computers/Technology,80000.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Online Service/Internet-based Services,200000.0,Python;SQL;Bash,SQLite,
India,IND,Asia,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,5000.0,Python;SQL;Javascript,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,0.0,,,
United States of America,,,Doctoral degree,"20+ years",Data Scientist,Online Service/Internet-based Services,250000.0,Python;SQL;C++;Bash,SQLite;Oracle Database;MongoDB,
Italy,ITA,Europe,Master’s degree,"3-5 years",Data Scientist,Accounting/Finance,20000.0,Python;SQL,,
India,IND,Asia,Professional doctorate,"1-3 years",Data Scientist,Insurance/Risk Assessment,0.0,Python;R;SQL;MATLAB,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"1-3 years",Data Scientist,Other,60000.0,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,60000.0,Python;R,MongoDB,
United States of America,,,Master’s degree,"3-5 years",Data Engineer,Government/Public Service,90000.0,Python;R;C#,,
Nigeria,NGA,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,,,
India,IND,Asia,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python,,
Other,,,Doctoral degree,"10-20 years",Data Scientist,Online Service/Internet-based Services,50000.0,Python;R;SQL;C;MATLAB;Julia,MongoDB,
United States of America,,,Doctoral degree,"20+ years",Data Scientist,Accounting/Finance,125000.0,Python;R;SQL,MySQL,Microsoft Power BI
United States of America,,,Doctoral degree,"10-20 years",Data Scientist,Medical/Pharmaceutical,150000.0,Python;SQL;Bash,SQLite;Oracle Database,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,300000.0,Python;SQL,PostgreSQL,Tableau
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Retail/Sales,150000.0,Python;SQL,MongoDB,
India,IND,Asia,I prefer not to answer,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,0.0,Python;SQL,,
Nigeria,NGA,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,0.0,Python,,
India,IND,Asia,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,3000.0,Python;SQL;C++;Java;Javascript,PostgreSQL;SQLite;MongoDB,Qlik Sense
Romania,ROU,Europe,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,20000.0,Python,,
China,CHN,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL,,
Brazil,BRA,Americas,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python,,
Tunisia,TUN,Africa,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,5000.0,Python;C;C++;Java;PHP,,
Canada,CAN,Americas,Master’s degree,"3-5 years",Data Scientist,Insurance/Risk Assessment,70000.0,Python,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Online Service/Internet-based Services,30000.0,Python;Java,,
Germany,DEU,Europe,Doctoral degree,"5-10 years",Data Scientist,Broadcasting/Communications,40000.0,Python,,
India,IND,Asia,No formal education past high school,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,C++;Javascript,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,3000.0,,,
United States of America,,,Master’s degree,"1-3 years",Data Scientist,Marketing/CRM,40000.0,Python;R;SQL,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,30000.0,Python;SQL,,
United States of America,,,Bachelor’s degree,I have never written code,Data Administrator,Energy/Mining,60000.0,,,
Russia,RUS,Europe,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,1000.0,Python,,
Italy,ITA,Europe,Master’s degree,< 1 years,Data Engineer,Non-profit/Service,20000.0,SQL;PHP,,
Other,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,0.0,Python;C#;C++;Java,,
Turkey,TUR,Asia,Doctoral degree,"10-20 years",Data Scientist,Government/Public Service,60000.0,Python;R;SQL;C;C++;MATLAB,MySQL;MongoDB,Qlik Sense
Sri Lanka,LKA,Asia,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,0.0,Python;Java,PostgreSQL,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,7500.0,Python;SQL;MATLAB,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,300000.0,Python;SQL,SQLite,
Argentina,ARG,Americas,Doctoral degree,"10-20 years",Data Scientist,Accounting/Finance,10000.0,Python;SQL;Java,,
United States of America,,,Doctoral degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,125000.0,Python;R;SQL,,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,Python;R;SQL,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"20+ years",Data Scientist,Marketing/CRM,60000.0,Python;SQL;Bash,MongoDB,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Other,0.0,Python,,
Poland,POL,Europe,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,20000.0,Python;SQL,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Computers/Technology,250000.0,Python;R;SQL;MATLAB,SQLite,Tableau
Russia,RUS,Europe,Bachelor’s degree,"1-3 years",Data Scientist,Other,,Python,,
Canada,CAN,Americas,Doctoral degree,"5-10 years",Data Scientist,Manufacturing/Fabrication,80000.0,Python,,
Poland,POL,Europe,No formal education past high school,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0.0,,,
Canada,CAN,Americas,Master’s degree,"3-5 years",Data Scientist,Energy/Mining,90000.0,Python;SQL;Bash,MySQL;PostgreSQL,
Saudi Arabia,SAU,Asia,Bachelor’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL;C++;PHP,,
Argentina,ARG,Americas,Some college/university study without earning a bachelor’s degree,< 1 years,Data Administrator,Energy/Mining,1000.0,Python,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,90000.0,,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,30000.0,Python;R,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,7500.0,Python,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0.0,Python;R;SQL,,
Japan,JPN,Asia,Bachelor’s degree,"5-10 years",Data Engineer,Online Service/Internet-based Services,40000.0,R;SQL;Javascript,SQLite;MongoDB,
United States of America,,,Master’s degree,"10-20 years",Data Scientist,Broadcasting/Communications,100000.0,Python;SQL,SQLite;Oracle Database,
Singapore,SGP,Asia,Master’s degree,"10-20 years",Data Scientist,Government/Public Service,30000.0,Python;R;SQL,SQLite,
Brazil,BRA,Americas,Doctoral degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,10000.0,Python,SQLite,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Retail/Sales,125000.0,Python;R;SQL,MongoDB,
Nigeria,NGA,Africa,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0.0,Python;SQL;Bash;MATLAB,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Medical/Pharmaceutical,125000.0,Python;MATLAB,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,80000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,10000.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,200000.0,Python;SQL,SQLite,
United States of America,,,I prefer not to answer,"5-10 years",Data Scientist,Academics/Education,50000.0,Python;C;C++;Bash;MATLAB,,
Other,,,Doctoral degree,"3-5 years",Data Scientist,Medical/Pharmaceutical,70000.0,Python;R;SQL,SQLite,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,100000.0,R;SQL,,
Japan,JPN,Asia,Doctoral degree,"3-5 years",Data Scientist,Accounting/Finance,50000.0,Python;SQL,SQLite;MongoDB,
India,IND,Asia,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,Python;R;C;Java;Javascript,,
Other,,,Doctoral degree,"5-10 years",Data Administrator,Accounting/Finance,1000.0,Python;Java;Javascript,MongoDB,
United Kingdom of Great Britain and Northern Ireland,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,50000.0,Python;SQL,MongoDB,
India,IND,Asia,I prefer not to answer,"5-10 years",Data Scientist,Computers/Technology,,Python,MongoDB,
India,IND,Asia,Master’s degree,"3-5 years",Data Scientist,Insurance/Risk Assessment,10000.0,Python;R;MATLAB,SQLite;MongoDB,Google Data Studio;Looker;Qlik Sense
Turkey,TUR,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,,Python;SQL;Javascript,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,125000.0,Python;R;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,7500.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,15000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,4000.0,Python;SQL,,
